Section,Subject Code,Subject Title,Unit,Time
BSCS 1B,GEC 101,Understanding the Self,3,09:30 AM - 11:30 AM / Tue 
,,,,04:00 PM - 05:00 PM / Mon	
BSCS 1B,GEC 102,Readings in Philippine History,3,10:00 AM - 12:00 PM / Mon 
,,,,11:30 AM - 12:30 PM / Tue
BSCS 1B,PI 100,Life and Works of Jose Rizal,3,02:00 PM - 03:00 PM / Tue 
,,,,10:00 AM - 12:00 PM / Thu
BSCS 1B,KOMFIL,Kontekstwalisadong Komunikasyon sa Filipino,3,10:00 AM - 12:00 PM / Fri 
,,,,01:00 PM - 02:00 PM / Mon
BSCS 1B,NSTP 1,CTWS 1,(3),08:00 AM - 12:00 PM / Sat
BSCS 1B,ITEC 101,Introduction to Computing,3,03:00 PM - 05:00 PM / Tue 
,,,,09:00 AM - 10:00 AM / Thu
BSCS 1B,ITEC 102,Fundamentals of Programming,3,01:30 PM - 04:30 PM / Fri 
,,,,S08:00 AM - 10:00 AM / Mon	
BSCS 1B,PATHFIT,PATHFit 1: Movement Competency Training or MCT,2,03:00 PM - 05:00 PM / Thu